source_id,source_path,source_type,owner,description,inspection_status,authoritative_for,checksum,notes
kaile_readme,facs_msc_youth_score_v1_1_cleaned_limb/README.md,README,Kaile Zhu,"Corrected FACS Limb MSC Youth Score v1.1 release notes and headline validation.",inspected,"Kaile cohort counts; official scorer; GSE validation headline; interpretation boundary",594533bbd4bb5b162baf65c4d745bc37d782deda670c35808dd976ca5f7bca53,"Raw matrices are not redistributed."
kaile_model_card,facs_msc_youth_score_v1_1_cleaned_limb/MODEL_CARD.md,model_card,Kaile Zhu,"Corrected Youth Score model card.",inspected,"Kaile input schema; preprocessing; output meaning; validation design; limitations",684e952e28daf99f436e2ca6269b39d50f548ddca079df3deacb0794cb7b5adf,"Confirms cells are not independent biological replicates."
kaile_selection,facs_msc_youth_score_v1_1_cleaned_limb/models/limb_facs/selection.json,frozen_artifact,Kaile Zhu,"Official model selection artifact.",inspected,"Kaile official model; runtime; expected cells/donors; feature/fold settings",511dd6ea1ebb137616cf98250071b84985673c2cb1b6c5007b48efd4bdccf8ef,"Status field in artifact is internally_supported; contract status is active_frozen."
kaile_metrics,facs_msc_youth_score_v1_1_cleaned_limb/models/limb_facs/model_metrics.csv,validation_metrics,Kaile Zhu,"Donor-level out-of-fold metrics for candidate models.",inspected,"Kaile donor ROC-AUC; Brier; age Spearman; donor count",c3980979b14c3998ace05845944f2c57838af35096a4f8317016cf4938055d0c,"Used for active result summary only."
kaile_scoring_code,facs_msc_youth_score_v1_1_cleaned_limb/research_pipeline/src/youth_score/scoring.py,scoring_code,Kaile Zhu,"External scorer implementation.",inspected,"Kaile score_counts input/output fields; model gene overlap; official fold ensemble behavior",65f81ad781d4ff4a1c249b56f818ebaa5fa66a878e5f0782e73ea85c5d39da75,"Do not modify."
kaile_evaluation_code,facs_msc_youth_score_v1_1_cleaned_limb/research_pipeline/src/youth_score/evaluation.py,scoring_code,Kaile Zhu,"Calibration and donor aggregation implementation.",inspected,"Kaile donor aggregation as arithmetic mean of cell youth_score",17bbcb5addb305d91ac2d666f16e88c6c721a69fbe48cc219dde5451fc9350ad,"Primary evidence for aggregation rule."
kaile_gse_validation_report,facs_msc_youth_score_v1_1_cleaned_limb/reports/GSE176206_msc_validation_report.md,validation_report,Kaile Zhu,"GSE176206 MSC external validation report.",inspected,"Kaile GSE condition means; gene overlap; biological replicate summary",9408f35d6a050c591365d1fe4ef8a29d586fb22f4618d5405eb8329e09b0a8a4,"Descriptive validation; not safety or harm evidence."
kaile_run_report,facs_msc_youth_score_v1_1_cleaned_limb/reports/run_report.json,run_report,Kaile Zhu,"Combined internal validation and external validation run report.",inspected,"Kaile droplet sensitivity; GSE validation JSON; runtime; scientific scope",4af3921a8bcdea1c91fed7c44e617d8586e689663cc93be10e8bc76e7866bdbb,"Contains SCAT entries that are reference context only for this Phase 1 contract."
kaile_gse_config,facs_msc_youth_score_v1_1_cleaned_limb/research_pipeline/configs/external_gse176206.yaml,config,Kaile Zhu,"External GSE176206 validation config.",inspected,"Kaile minimum gene-overlap threshold and GSE source file names",767554c5876f4067083e00ba0cce0c6015d0d652c66893e2ec74a36438554355,"No data download performed."
zihan_readme,facs_msc_youth_score_v2_1/README.md,README,Zihan Zhou,"Frozen FACS MSC Youth Score v2.1 README.",inspected,"Zihan primary model; cohort counts; native scoring path; interpretation boundary",0986cc10c5844a224bfad6d5610f617f6652765af4b79f5c0b23624a1b083af6,"Training data URL recorded but not accessed."
zihan_model_card,facs_msc_youth_score_v2_1/reports/FACS_Youth_Score_v2_1_model_card.md,model_card,Zihan Zhou,"FACS Youth Score v2.1 model card.",inspected,"Zihan frozen training procedure; validation metrics; limitations",2fe07c22873ada0384cda7478aaa4c079e6d9196c4ecf0054e9da9b9888f13ac,"Primary evidence for frozen model interpretation."
zihan_r_parser,facs_msc_youth_score_v2_1/parser/score_facs_v2_1_youth_model.R,scoring_code,Zihan Zhou,"R parser for raw pseudobulk counts.",inspected,"Zihan scoring formula; output fields; gene/weighted coverage",f608f6d9148dd76025ab06e5a324feeed9706baa376fd3b69f705424a7b22543,"Base R scoring parser."
zihan_h5ad_wrapper,facs_msc_youth_score_v2_1/parser/score_facs_v2_1_single_cell_h5ad.py,scoring_code,Zihan Zhou,"Python wrapper for single-cell h5ad input.",inspected,"Zihan raw-count validation; donor/sample pseudobulk aggregation; h5ad output fields",18f86006d7b422564abfc6b95f0dcc0a169a34380524bc9d61202375814f5eed,"Requires raw integer-like counts."
zihan_calibration,facs_msc_youth_score_v2_1/models/facs_v2_1_full_data_frozen_calibration.csv,frozen_artifact,Zihan Zhou,"Frozen calibration parameters for all v2.1 model variants.",inspected,"Zihan signature sizes; calibration centers; gene filter; scoring transform",f9ddf8db032e10d2f1874ebcc09d9f19d821650b4aa39bc19510654e3d3f3d0a,"Primary row is factorial_medium_original."
zihan_model_comparison,facs_msc_youth_score_v2_1/tables/model_comparison_summary.csv,validation_metrics,Zihan Zhou,"Nested model comparison summary.",inspected,"Zihan nested LOMO AUC; all-age rho; technical sensitivity",0a740544b7c084ad4759ad1bfb069d3cab2884deffcfd457b9dcf7693cd45e92,"Report notes Kaile was not run in that comparison."
zihan_permutation,facs_msc_youth_score_v2_1/tables/nested_permutation_medium_summary.csv,validation_metrics,Zihan Zhou,"Formal 999 nested permutation summary.",inspected,"Zihan primary and supporting permutation p-values",5e394d531ff720ab1a504d9b112dfe7e8b5b2edc6ca3d2856a2c433bf1523ef3,"Primary abs_all_age_rho p=0.153."
zihan_bootstrap,facs_msc_youth_score_v2_1/tables/donor_bootstrap_ci.csv,validation_metrics,Zihan Zhou,"Donor bootstrap confidence intervals.",inspected,"Zihan bootstrap AUC and correlation intervals",15fc3809b0641af461c239231de62dff32181386b6f369b24ad673fc6ddcd77d,"Used for residual risk notes."
zihan_parser_validation,facs_msc_youth_score_v2_1/tables/parser_numerical_equivalence.csv,validation_metrics,Zihan Zhou,"Parser numerical equivalence check.",inspected,"Zihan parser coverage and machine-precision equivalence",e18761a83654c7dccf515fd980a5f6bc61f0c9feef41c2f9b671c4e999ecf6f0,"R and Python wrapper also validated in deliverable_validation_summary."
gse_readme,GSE176206_MSC_Reprogramming_Evaluation_v1_revised_20260730/README.md,README,Kaile Zhu,"GSE176206 MSC Reprogramming Evaluation v1 package README.",inspected,"GSE package scope; interpretation boundary; file structure; state_remodeling_dominant",99e1a4e23dea40256d2b5b447ca052dfb2ac419f7c86be5f8b76da5e92062d39,"Revised report package dated 2026-07-30."
gse_source_manifest,GSE176206_MSC_Reprogramming_Evaluation_v1_revised_20260730/methods/SOURCE_MANIFEST.md,source_manifest,Kaile Zhu,"Source manifest for frozen database-derived and literature-curated modules.",inspected,"GSE contextual module provenance and interpretation boundaries",aa4820db4e190b78e98c688f033718dc9ce457f8854fae57f22a5d0e5204c8d0,"MSigDB redistribution terms require review before public release."
gse_gene_set,GSE176206_MSC_Reprogramming_Evaluation_v1_revised_20260730/methods/reprogramming_gene_set_v1.csv,frozen_gene_set,Kaile Zhu,"Frozen GSE reprogramming evaluation gene set table.",inspected,"GSE contextual module genes; directions; source ids; inclusion flags",6c324d0ca8fb367671c1e910b0eadb22dad550838fc304524ef67d8fb260c5a2,"Do not treat contextual risk modules as Kei final Risk."
gse_gene_set_manifest,GSE176206_MSC_Reprogramming_Evaluation_v1_revised_20260730/methods/reprogramming_gene_set_v1.manifest.json,gene_set_manifest,Kaile Zhu,"Manifest for frozen GSE gene sets.",inspected,"GSE module sizes and gene-set checksums",313db7a1b89a552c5c22c2e891e62c659b6908595719a10b5799961d48c81e85,"Manifest frozen_table SHA matches local gene_set checksum."
gse_yaml,GSE176206_MSC_Reprogramming_Evaluation_v1_revised_20260730/methods/reprogramming_evaluation_v1.yaml,config,Kaile Zhu,"GSE reprogramming evaluation config.",inspected,"GSE counts layer; normalization; control-set method; seed; minimum coverage",daa76e227b9e5472f0b77c27d066265ecd1dcba0dbd185adbd1a43afe386da33,"No rerun performed."
gse_integrated_assessment,GSE176206_MSC_Reprogramming_Evaluation_v1_revised_20260730/results/integrated_assessment.json,result_json,Kaile Zhu,"Integrated GSE assessment JSON.",inspected,"GSE aged effects; criteria; state_remodeling_dominant status",823b8af0fe7c1895a792c4346b40e49239e331d85e82897c3074fbc957331544,"Primary evidence for integrated result."
gse_paired_contrasts,GSE176206_MSC_Reprogramming_Evaluation_v1_revised_20260730/results/known_donor_paired_contrasts.csv,result_csv,Kaile Zhu,"Known-animal paired contrasts.",inspected,"GSE n=3 paired animal effects and sign-flip p-values",3d2e7a69df8527ca364d8e53d831bb94d11b885c67b7a2887ca30e42c09c6ee5,"Cells are summarized within mouse-condition."
gse_state_fractions,GSE176206_MSC_Reprogramming_Evaluation_v1_revised_20260730/results/state_fraction_paired_contrasts.csv,result_csv,Kaile Zhu,"Known-animal state-fraction paired contrasts.",inspected,"GSE baseline/reprogramming state-fraction effects",e6c6a587bcb314ad0d5b61e8772446767636a6d1069336ea60c538bc284b2132,"Source state annotations are not equivalent to endogenous marker scores."
gse_decomposition,GSE176206_MSC_Reprogramming_Evaluation_v1_revised_20260730/results/composition_decomposition.csv,result_csv,Kaile Zhu,"Youth-score composition decomposition table.",inspected,"GSE within-state and composition components",ce948b49af77434d3539d752c412674350c0bff2fddf337583bdb435b6f9e7c6,"Supports state redistribution interpretation."
gse_pseudotime,GSE176206_MSC_Reprogramming_Evaluation_v1_revised_20260730/results/pseudotime_correlations.csv,result_csv,Kaile Zhu,"Velocity pseudotime correlations.",inspected,"GSE pseudotime descriptive correlations",9cb90ae9dfbee5a204bddeb2da66310a6df3fe638e31bc265240f3b665931719,"Pseudotime is not experimental time."
gse_en_pdf,GSE176206_MSC_Reprogramming_Evaluation_v1_revised_20260730/reports/GSE176206_MSC_Reprogramming_Evaluation_Report_EN.pdf,report_pdf,Kaile Zhu,"English GSE reprogramming report.",text_extracted_to_work,"GSE narrative interpretation; n=3 warning; safety/tumourigenicity boundaries",bd19a6678274aaa102b158fb490d4bd487949e2356c51a3871093ce91bce5b18,"Temporary text: deliverables/cross_module_contract_v1/work/GSE176206_MSC_Reprogramming_Evaluation_Report_EN.pdf.txt."
geneformer_pdf,genetech_pbl_paper.pdf,paper_pdf,Jia Qi Choy,"Draft paper fragment containing Geneformer perturbation arm.",text_extracted_to_work,"Geneformer configuration; axis diagnostic; superseded TF ranking",bc6edf378c06e3e08f316c99c63e24843768d40163c447b2417e0b6ef8e65968,"Temporary text: deliverables/cross_module_contract_v1/work/genetech_pbl_paper.pdf.txt."
summary_draft_pdf,Summary_draft.pdf,summary_pdf,Liu Bowen,"Team summary draft.",text_extracted_to_work,"Current paper/project narrative and potential consistency warnings",7fc03f838ff12db7f5c6a72733c8a9bc39988a7ea414c24b03d865a3c9338290,"Temporary text: deliverables/cross_module_contract_v1/work/Summary_draft.pdf.txt."
